Daycare Centre Name,Address,Ward,Contact Name,Contact Phone
Morrish Jr YMCA,61 Canmore Blvd   (Ellesmere / Morrish Rd.)     , Scarborough-Rouge Park,Felicia Bryan, 416-724-1925
MothercraftBrookfield Place - 161 Bay Street,10 Front St W   (Front/Yonge)     , Toronto Centre,Kimberly Wint, 416-367-1758
Mothercraft Midtown Ced,"44 Lillian St ,Unit 101     ", Toronto-St. Paul's,Eunji Kim, 416-920-4054 ext 1702
MothercraftRobertson House (32 Heath Street West),32 Heath St W   (Yonge / St. Clair)     , Toronto-St. Paul's,Sonia Ferreira, 416-920-3515 ext 115
MothercraftToronto Eaton Centre,14 Trinity Sq   (Dundas / Bay)     , Toronto Centre,Lalaine Tam, 416-340-9651
Mother Of Compassion Child Care,40 Sewells Rd   (Neilson / Sheppard)     , Scarborough-Rouge Park,Kristen Laaniste, 416-724-1462
Mount Dennis Early Learning & Child Care Centre,"1296 Weston Rd ,2nd Floor   (Jane St/Eglinton Ave W)     ", York South-Weston,Michele Lovelock, 416-392-5686
Mtt Davisville (10730041canada Inc),588 Mount Pleasant Rd     , Toronto-St. Paul's,Luisa Flores, 416-722-8311
Munchkinz Preschool Inc. (2193117 Ontario Inc.),260 The Queensway   (The Queensway/Park Lawn Road)     , Etobicoke-Lakeshore,Allison Gowing, 416-252-0600
Muppets Children's Centre 314,314 Main St   (Main / Danforth)     , Beaches-East York,Sade Gopaul, 416-690-8668
Muppets Children's Centre 316,316 Main St   (Main / Danforth)     , Beaches-East York,Abou-Merhi Lama, 416-694-7888
Muppets Infant & Toddler Centre 312,312 Main St   (Main / Danforth)     , Beaches-East York,Sumaira Mala, 416-693-9879
Muppets Pre-School Centre,88 Sweeney Dr   (Victoria Pk. / Lawrence)     , Don Valley East,Christa Deneault, 416-759-5159
Muppets Too Preschool Centre,45 Cassandra Blvd   (Lawrence / Underhill)     , Don Valley East,Angela Blake, 416-449-3010
My Little School,1492 Victoria Park Ave   (Victoria Park / O'Connor)     , Don Valley East,Vivian Aravantinos, 416-755-0305
My School Co-Op Nursery School,116 Fermanagh Ave   (Queen / Roncesvalles)     , Parkdale-High Park,A.K. Bito, 416-516-2397
N.Y.A.D. Cedar Drive,21 Gatesview Ave   (Eglinton Ave. E / Markham Rd.)     , Scarborough-Guildwood,Ghazaleh Emambakhsh, 416-396-6123
N.Y.A.D. Corvette,30 Corvette Ave   (Kennedy / Eglinton)     , Scarborough Southwest,Jonathan Phan, 416-266-4990
N.Y.A.D. Donwood Inc,61 Dorcot Ave   (Midland / Lawrence)     , Scarborough Centre,Lorrie Weddell, 416-759-7648
N.Y.A.D. Guildwood,225 Livingston Rd   (Guildwood Pkwy /Livingston Rd.)     , Scarborough-Guildwood,Maria Samuels, 416-261-6540
N.Y.A.D. Mason Road,78 Mason Rd   (Eglinton Ave. E. / Markham Rd.)     , Scarborough Southwest,Bernadette Hussey, 416-881-7397
N.Y.A.D. Midland,720 Midland Ave   (Midland / Eglinton)     , Scarborough Southwest,Lisa D'Andrade, 416-264-8050
N.Y.A.D Scarborough Village,15 Luella St   (Markham / Eglinton)     , Scarborough-Guildwood,Colleen Elmhirst, 416-261-4815
Native Child & Family Life Centre - 156 Galloway,156 Galloway Rd   (Kingston Rd. / Lawrence E.)     , Scarborough-Guildwood,Barbara Wilson, 416-969-8510 ext 3719
Netivot Hatorah - South Campus,470 Glencairn Ave   (Bathurst St & Lawrence Ave W)     , Eglinton-Lawrence,Joyce Kadoch, 416-789-9958
Network Bendale Acres Child Care Centre,2920 Lawrence Ave E   (Lawrence Ave E & Brimley Rd)     , Scarborough Centre,Yuk-Ying Chan, 416-530-0722 ext 4108
Network - Child's Nest Early Years And Child Care Centre - 123 Cosburn,123 Cosburn Ave   (Cosburn / Pape)     , Toronto-Danforth,Wei-Ning Wu, 416-530-0722 ext 4077
Network Child Care Services - Child's Nest Early Learning Centre,121 Cosburn Ave   (Cosburn / Pape)     , Toronto-Danforth,Amanda Fulton, 416-530-0722 ext 4070
Network Child Care Services - Dane Avenue Child Care Centre,120 Via Bagnato   (Dufferin / Lawrence)     , Eglinton-Lawrence,Megan Samanica, 416-530-0722 ext 4044
Network Childcare Services - Holy Cross,299A Donlands Ave   (Donlands Ave / Cosburn Ave)     , Toronto-Danforth,Leanne Lowes, 416-530-0722 ext 4078
Network Child Care Services - Just Kids Child Care Centre,1695 Keele St   (Keele / Rogers)     , York South-Weston,Barbara De Cicco, 416-530-0722 ext 4037
Network Child Care Services - Metamorphosis Child Care Centre,40 Donlands Ave   (Donlands / Danforth)     , Toronto-Danforth,Sally Pacheco, 416-530-0722 ext 4087
Network Child Care Services - Ossington Avenue North,756 Ossington Ave   (Bloor W. / Ossington)     , Davenport,Marlene Armas, 416-530-0722 ext 4028
Network Child Care Services - Ossington Avenue South,720 Ossington Ave   (Ossington / Bloor W.)     , Davenport,Antonia Mastrella, 416-530-0722 ext 4032
Network Child Care Services - St. Aidan Early Learning Centre,3521 Finch Ave E   (Finch E. / Warden)     , Scarborough-Agincourt,Stephanie C. Chung, 416-530-0722 ext 4092
Network Child Care Services - St. Gabriel Lalemant,160 Crow Trail   (Neilson / Finch)     , Scarborough North,Mariam Baroi, 416-530-0722 ext 4056
Network Child Care Services - St. Maria Goretti,21 Kenmark Blvd   (Eglinton Ave E & Kennedy Rd)     , Scarborough Southwest,Nahida Akter, 416-206-8374
Network Child Care Services - Wade Avenue Centre,544 Lansdowne Ave   (Bloor / Lansdowne)     , Davenport,Diane Palhinha, 416-530-0722 ext 4052
Network - Lansing Child Care Centre,49 Bogert Ave   (Sheppard Ave W / Yonge St)     , Willowdale,Juvelyn Grospe, 416-530-0722 ext 4059
Network - St Agatha,49 Cathedral Bluffs Dr   (McCowen And Kingston)     , Scarborough Southwest,Vanessa Sterling, 416-320-5807
New Toronto Nursery Co-Operative Inc,153 Lake Shore Dr   (Lake Shore Blvd / Ninth Str)     , Etobicoke-Lakeshore,Katrina Cepovski, 416-259-8776
Norman Ingram School Age YMCA,50 Duncairn Rd   (Lawrence / Don Mills)     , Don Valley East,Garcia Sitcheron, 416-229-6324
Norseman Jr YMCA,80 Lothian Ave   (Islington / Bloor W.)     , Etobicoke-Lakeshore,Ashley Thompson, 416-917-8900
Norseman School Age Program (YMCA),105 Norseman St   (Bloor / Islington)     , Etobicoke-Lakeshore,Ashley Thompson, 416-917-8900
North Etobicoke Jr YMCA,88 Humber College Blvd   (Hwy. 27 / Humber College)     , Etobicoke North,Melissa Unus, 416-744-4265
Northlea Community Child Care,305 Rumsey Rd   (Eglinton / Rumsey Road)     , Don Valley West,Leslie Schober, 416-424-2890
Northminster Early Learning & Child Care Centre,255 Finch Ave W   (Bathurst / Finch)     , Willowdale,Telccs Northminster Supervisor, 416-392-5690
North Toronto Early Years Learning Centre-Avenue Rd,1133 Avenue Rd   (Castlefield / Avenue Road)     , Eglinton-Lawrence,Catriona Smith, 416-544-0133
North Toronto Early Years Learning Centre-Bedford,11 Bedford Park Ave   (Yonge / Lawrence)     , Eglinton-Lawrence,Catriona Smith, 416-544-0133
Northview Advent Child Care,541 Finch Ave W   (Finch W / Bathurst)     , York Centre,Alexandra Liavas, 647-352-6221
Northview Heights Early Learning Centre,550 Finch Ave W   (Bathurst / Finch)     , York Centre,Georgeena Sarlat, 416-739-0987
Northwest Childhood Learning Centre,"2978 Islington Ave ,103   (Steeles W. / Islington)     ", Humber River-Black Creek,Morena Starcevic, 416-740-2888
Northwood Montessori,1080 Finch Ave E     , Don Valley North,Gillian Edith Hagarty, 416-492-9495
North Yonge Infant Nursery,27 Melrose Ave   (Yonge / Wilson)     , Eglinton-Lawrence,Jessica Jackson, 416-481-8900
North Yonge Preschool,25 Melrose Ave   (Yonge / Wilson)     , Eglinton-Lawrence,Jessica Jackson, 416-481-8900
North York Jr YMCA,567 Sheppard Ave E   (Bayview / Sheppard)     , Don Valley North,Sham Dhanji, 416-225-7773 ext 440
North York Little Prints Daycare,"20 York Mills Rd ,Unit 210   (York Mills / Yonge)     ", Don Valley West,Oshida Honarbakhsh, 416-229-0572
Norway School Age YMCA,390 Kingston Rd   (Woodbine/Kingston Rd.)     , Beaches-East York,Monica Buslon, 647-439-9905
Nsheemaehn Child Care Centre,1255 Military Trail   (Ellesmere / Military Trail)     , Scarborough-Rouge Park,Joanne McKay, 416-287-7624
O'Connor Early Learning & Child Care Centre,1386 Victoria Park Ave   (Victoria Pk. / O'Connor)     , Beaches-East York,Suzette Charles, 416-392-6545
O'Connor Satellite Early Learning & Child Care Centre,1665 O Connor Dr   (Victoria Park / O'Connor)     , Beaches-East York,Telccs O'Connor Satellite Superv, 416-392-3980
Oakridge Junior  Playcare,110 Byng Ave     , Scarborough Southwest,Amy Sit, 416-755-9215 ext 257
Oakwood Children's House,115 Winona Dr   (Oakwood / St. Clair)     , Toronto-St. Paul's,Vicenta Tavares, 416-656-3831
Oakwood Village Montessori,473 Oakwood Ave   (Dufferin St / Eglinton Ave W)     , Toronto-St. Paul's,Nirmala Shettigar, 416-651-9000
Odyssey Montessori School,256 Christie St     , University-Rosedale,Mary Tomazos, 416-535-9402
Odyssey Montessori School Incorporated,136 Sorauren Ave   (Roncesvalles / Queen St. W.)     , Parkdale-High Park,Mary Tomazos, 416-535-9402
Ogden Day Care Centre,33 Phoebe St   (Queen / Spadina)     , Spadina-Fort York,Rosemary Sinopoli, 416-593-0624
Ola Day Care Inc.,2211 Dundas St W   (Dundas St W & Bloor St)     , Parkdale-High Park,Ane Spiroska, 647-351-6521
Olivet Church Of The New Jerusalem,279 Burnhamthorpe Rd   (Burnhamthorpe / Martingrove)     , Etobicoke Centre,Judith-Ann Lynne Todd, 416-239-3054
Orchard Grove Nursery Inc,100 Old Orchard Grove     , Eglinton-Lawrence,Rachel Khan, 416-728-7224
Orde Day Care Centre (Orde Street),18 Orde St   (College / University)     , University-Rosedale,Gary Duncan, 416-598-3412
Orde Day Care Satellite (St. Patrick Street),132 St Patrick St   (Dundas / University)     , Spadina-Fort York,Indrani Sabessar, 416-591-0040
Oriole Nursery School,1570 Yonge St   (St. Clair W. / Yonge)     , Toronto-St. Paul's,Heather Brown, 416-960-1293
Our Lady Of Fatima YMCA,3176 St Clair Ave E   (St Clair/Pharmacy)     , Scarborough Southwest,Nelisha Karmali, 416-288-0997
Our Lady Of Grace Jr YMCA,121 Brimwood Blvd   (Finch / McCowan)     , Scarborough North,Ranu Singh, 416-293-7326
Our Lady Of Peace School Age Program (YMCA),70 Mattice Ave   (Kipling / Burnhamthorpe)     , Etobicoke Centre,Irene Grobelny, 647-281-4410
Our Lady Of Sorrows School Age YMCA,32 Montgomery Rd   (Royal York / Bloor)     , Etobicoke-Lakeshore,Julia Hill, 416-305-6633
Our Lady Of Victory School Age YMCA,70 Guestville Ave     , York South-Weston,Melissa De Sousa, 416-769-6715
Our Lady Of Wisdom YMCA,10 Japonica Rd   (Ellesmere/Pharmacy)     , Scarborough Centre,Sol Shenian, 416-447-8115
Owen Community Learning Centre,111 Owen Blvd   (Bayview / York Mills)     , Don Valley West,Cheryl Oliver-Linton, 416-730-8948
Palisades Centre For Early Learning,15 San Romanoway   (Jane / Finch)     , Humber River-Black Creek,Tracy Closs, 416-663-4431 ext 221
Palmerston Community Daycare,734 Palmerston Ave   (Bloor / Bathurst)     , University-Rosedale,Marilyn Eschelbacher, 416-533-9526
Pape Children's House,220 Langley Ave   (Pape/Gerrard)     , Toronto-Danforth,Jannet Haitas, 416-463-2043
Parkdale Childcare Centre,78 Seaforth Ave   (Lansdowne & Queen W)     , Parkdale-High Park,Venise Bennett, 416-393-8386
Parkdale Early Learning Centre - CDI - 119 Close Ave.,119 Close Ave   (King / Dufferin)     , Parkdale-High Park,Judith Malcolm Barnes, 416-535-6116
Park Lawn Preschool,71 Ballacaine Dr     , Etobicoke-Lakeshore,Anna Torunski, 416-236-2974
"Parkside Elementary School, Extended Day Program",401 Cedarvale Ave   (Woodbine / O'Connor)     , Beaches-East York,437-339-4015 or email, nicole.bharatt@tdsb.on.ca
Parkway Forest YMCA,55 Forest Manor Rd   (Don Mills/Sheppard)     , Don Valley North,Marcia Lorefice, 416-773-1958
Pat Schulz Child Care Centre,1 Danforth Ave   (Danforth Ave. / Broadview)     , Toronto-Danforth,Kristi Bovaconti, 416-393-0939
Pauline Johnson School Age YMCA,35 Dunmurray Blvd   (Birchmount / Huntingwood)     , Scarborough-Agincourt,Ralph Romero, 416-913-0958
Percy Williams YMCA,35 White Heather Blvd     , Scarborough North,Ranu Singh, 416-293-7326
Perth Avenue Early Learning Centre,14 Ruskin Ave   (Symington/Bloor)     , Davenport,Judeen Longmore, 416-533-2575
Petitecare,1419 Gerrard St E     , Toronto-Danforth,Caroline Lee, 647-877-2273
Petite Maison Montessori,126 O Connor Dr   (O'Connor / Broadview)     , Toronto-Danforth,Roula Porcelli, 416-429-0507
Petit Pearson Child Care,7 Snowcrest Ave   (Baview / Cummer)     , Don Valley North,Zakia Almani, 416-222-2769
Phoenix Child Centre,625 Seneca Hill Dr   (Finch / Don Mills)     , Don Valley North,Heather Doherty, 416-492-8888
Phoenix Montessori School,2 Station Rd   (Station Road / Mimico Ave)     , Etobicoke-Lakeshore,Christina Dinardo, 416-695-1212
Pine Lake Montessori School,255 Sheppard Ave W     , Willowdale,Surur Akkarzadeh-Eirdmousa, 416-227-9100
"Pine Lake Montessori School, Toddlers",253 Sheppard Ave W     , Willowdale,Surur Akkarzadeh-Eirdmousa, 416-227-9100
Pineway Child Care Learning Center,110 Pineway Blvd   (Leslie / Cummer)     , Don Valley North,Sandra Ubaldo, 416-225-7156
Pinnacle Jr YMCA,"12 Yonge St ,Unit 1   (Yonge / Queen's Quay)     ", Spadina-Fort York,Amanda Magolas, 437-225-8035
Plains Road Child Care Inc.,520 Plains Rd   (Woodbine / O'Connor)     , Beaches-East York,Karen Arnold, 416-421-2273
Plasp All Saints Catholic School,1435 Royal York Rd   (Royal York  / Eglinton W.)     , Etobicoke Centre,Support Toronto Parent, 1-888-739-4102
Plasp Bennington Heights Ps,76 Bennington Heights Dr   (Heath St E / Bayview Ave)     , Don Valley West,Support Toronto Parent, 1-888-739-4102
Plasp Blessed Sacrament C.S.,24 Bedford Park Ave   (Yonge St / Bedford Park Ave)     , Eglinton-Lawrence,Support Toronto Parent, 1-888-739-4102
Plasp Blythwood Junior Public School,2 Strathgowan Cres     , Don Valley West,Support Toronto Parent, 1-888-739-4102
Plasp - David Hornell Junior School,32 Victoria St   (Lake Shore Blvd W/ Park Lawn)     , Etobicoke-Lakeshore,Support Toronto Parent, 1-888-739-4102
Plasp Father Serra Catholic School,111 Sun Row Dr   (Islington / The Westway)     , Etobicoke Centre,Support Toronto Parent, 1-888-739-4102
Plasp Holy Angels Catholic School,100 Allanhurst Dr   (Eglinton Ave W & Royal York Rd)     , Etobicoke Centre,Support Toronto Parent, 1-888-739-4102
Plasp Humber Valley Village Junior Middle School,65 Hartfield Rd   (The Kingsway / Islington Ave.)     , Etobicoke Centre,Support Toronto Parent, 1-888-739-4102
Plasp Inglewood Heights Junior Public School,45 Dempster St     , Scarborough-Agincourt,Support Toronto Parent, 1-888-739-4102
Plasp Islington Junior Middle School,44 Cordova Ave   (Islington /  Dundas)     , Etobicoke-Lakeshore,Support Toronto Parent, 1-888-739-4102
Plasp James Culnan Catholic School,605 Willard Ave   (Jane / Annette)     , Parkdale-High Park,Support Toronto Parent, 1-888-739-4102
Plasp James S Bell Junior Middle School,90 Thirty First St   (Lake Shore / Brown's Line)     , Etobicoke-Lakeshore,Support Toronto Parent, 1-888-739-4102
Plasp Kingsview Village Junior School,1 York Rd   (Islington / Dixon)     , Etobicoke North,Support Toronto Parent, 1-888-739-4102
Plasp Lanor Junior Middle School Toronto,450 Lanor Ave     , Etobicoke-Lakeshore,Support Toronto Parent, 1-888-739-4102
Plasp Mother Cabrini Catholic School,720 Renforth Dr     , Etobicoke Centre,Support Toronto Parent, 1-888-739-4102
Plasp Nativity Of Our Lord Catholic School,35 Saffron Cres   (Renforth / Rathburn)     , Etobicoke Centre,Support Toronto Parent, 1-888-739-4102
Plasp North Bridlewood Junior Public School,50 Collingsbrook Blvd     , Scarborough-Agincourt,Support Toronto Parent, 1-888-739-4102
Plasp Parkfield Junior School,31 Redgrave Dr   (Redgrave Dr / Martin Grove Rd)     , Etobicoke North,Support Toronto Parent, 1-888-739-4102
Plasp Pauline Junior Public School,100 Pauline Ave   (Dufferin St/Bloor St W)     , Davenport,Support Toronto Parent, 1-888-739-4102
Plasp St. Albert Catholic School,1125 Midland Ave   (Midland Ave / Lawrence Ave E)     , Scarborough Centre,Support Toronto Parent, 1-888-739-4102
Plasp St. Cecilia Catholic School,355 Annette St   (Runnymede / Annette)     , Parkdale-High Park,Support Toronto Parent, 1-888-739-4102
Plasp St. Clement Catholic School,4319 Bloor St W   (Bloor St W/Mill Rd)     , Etobicoke Centre,Support Toronto Parent, 1-888-739-4102
Plasp St. Conrad Catholic School,5 Exbury Rd   (Roding St / Calvington Dr)     , York Centre,Support Toronto Parent, 1-888-739-4102
Plasp St. Elizabeth Catholic School,5 Redcar Ave   (Bloor / East Mall)     , Etobicoke-Lakeshore,Support Toronto Parent, 1-888-739-4102
Plasp St. Isaac Jogues Catholic School - Tor,1330 York Mills Rd     , Don Valley East,Support Toronto Parent, 1-888-739-4102
Plasp St. Louis C.S.,11 Morgan Ave   (The Queensway & Royal York Rd)     , Etobicoke-Lakeshore,Support Toronto Parent, 1-888-739-4102
Plasp St. Norbert Catholic School,60 Maniza Rd   (Maniza Rd / Wilson Ave)     , York Centre,Support Toronto Parent, 1-888-739-4102
Plasp St. Pius X Catholic School,71 Jane St   (Jane St. / Bloor St. W.)     , Parkdale-High Park,Support Toronto Parent, 1-888-739-4102
Plasp St. Simon C.S.,24 Strathburn Blvd   (Albion Rd & Weston Rd)     , Humber River-Black Creek,Support Toronto Parent, 1-888-739-4102
Plasp Steelesview Public School,105 Bestview Dr   (Steeles Ave E / Laureleaf Rd S)     , Don Valley North,Support Toronto Parent, 1-888-739-4102
Plasp St Eugene Catholic School,30 Westroyal Rd   (The Westway/Royal York Road)     , Etobicoke Centre,Support Toronto Parent, 1-888-739-4102
Plasp St Matthias Catholic School,111 Aspenwood Dr     , Don Valley North,Support Toronto Parent, 1-888-739-4102
Plasp Sts. Cosmas And Damian C.S,111 Danesbury Ave   (Marlee Ave & Glencairn Ave)     , Eglinton-Lawrence,Support Toronto Parent, 1-888-739-4102
Plasp Transfiguration Of Our Lord Catholic School,55 Ludstone Dr   (Dixon Rd. / Kipling Ave.)     , Etobicoke Centre,Support Toronto Parent, 1-888-739-4102
Plasp Twentieth Street Junior School,3190 Lake Shore Blvd W     , Etobicoke-Lakeshore,Support Toronto Parent, 1-888-739-4102
Play And Grow Child Care Centre,227 Drewry Ave   (Yonge St/ Finch Ave W)     , Willowdale,Marina Peitos, 416-395-5098
Play Care Program/ West Scarborough Neighbourhood Com.Centre.,313 Pharmacy Ave   (Pharmacy / St. Clair)     , Scarborough Southwest,Amy Sit, 416-755-9215 ext 257
Playhouse Child Care Centre,15 Greenland Rd   (Lawrence / Don Mills)     , Don Valley East,Posy Suri, 416-441-3170
Playland Ltd  - Daycare Centre,"5050 Dufferin St ,106   (Dufferin / Steeles)     ", York Centre,Tatiana Cazacu, 416-667-7529
Play Loft,583 Danforth Ave     , Toronto-Danforth,Yanella Loor, 416-406-0110
Pleasant Child Care Of North York,"288 Pleasant Ave ,101 & 103   (Yonge / Steeles)     ", Willowdale,Hamideh Habibi, 416-733-2280
Plp Early Learning At St. Mark,50 Cloverhill Rd   (Park Lawn / The Queensway)     , Etobicoke-Lakeshore,Susana Contente-Lefkos, 416-259-9335
Port Royal Jr YMCA,410 Port Royal Trail   (Brimley / Steeles)     , Scarborough North,Amy Chang, 416-298-8911
Posluns Education Centre,18 Neptune Dr   (Bathurst St / Wilson Ave)     , Eglinton-Lawrence,Carly Krupnik, 416-787-1872
Precious Blood  Jr YMCA Elp,1035 Pharmacy Ave     , Scarborough Centre,Debbie Cheung, 416-490-1624
Precious Ones Bilingual Preschool Corp.,233 Westview Blvd     , Beaches-East York,Dominique Romain Fournier, 416-755-0004
Pride In Heritage Children's Centre,55 Gateway Blvd   (Don Mills / Overlea)     , Don Valley East,Rosemarie Ritchie, 416-467-5981
Prince Edward Montessori School Of Toronto,2850 Bloor St W   (Bloor / Prince Edward)     , Etobicoke-Lakeshore,Bozena Nowicka-Lipa, 416-234-9127
Princess Margaret Nursery School,70 Princess Anne Cres   (Eglinton Ave W Trl / Islington)     , Etobicoke Centre,Danielle McIndoo, 416-233-8213
Prodigy Learning Centre,1545 Jane St   (Jane / Lawrence W.)     , York South-Weston,Simran Kaur Puri, 416-241-1902
Progress Childcare (Scarborough Inc. #1 (3 Glamorgan),3 Glamorgan Ave   (Kennedy / Hwy. 401)     , Scarborough Centre,Maria Wisniowska, 416-291-3368
Prosserman Jewish Community Centre,4588 Bathurst St   (Bathurst / Sheppard)     , York Centre,Naama Yaacov, 416-638-1881 ext 4351
Purple Tree Child Care Inc.,384 Soudan Ave   (Mt. Pleasant / Eglinton Ave. E)     , Don Valley West,Debra Levin, 416-932-9119
Queen's Park Child Care Centre,7 Queens Park Cres E   (University And College St)     , University-Rosedale,Marie Thomson, 416-972-9979
Queen Victoria Child Care Centre,100 Close Ave   (King / Jameson)     , Parkdale-High Park,Connie Mackenzie, 416-530-0683
Rainbow's End Day Care Satellite,33 Lamberton Blvd     , Humber River-Black Creek,Carron Allen, 416-633-4718
Rainbow Village Childcare Centre (Mid-Scarborough Child Care),2460 Eglinton Ave E   (Eglinton / Midland)     , Scarborough Centre,Nelly Daniels, 416-266-5835
Ranchdale Rompers Day Care,60 Ranchdale Cres   (Victoria Pk. / Ellesmere)     , Don Valley East,Donna Ciccarelli, 416-441-1233
Ranleigh Rascals,81 Ranleigh Ave   (Yonge St. / Lawrence Ave. E.)     , Don Valley West,Selina Boyer, 416-487-2373
Rawlinson B & A School Program,231 Glenholme Ave   (Rogers Rd. / Oakwood Ave.)     , Davenport,Heather Repton, 647-207-3037
Rawlinson Early Learning & Child Care Centre,40 Earnscliffe Rd   (Oakwood / St. Clair W.)     , Davenport,Patty Venditto, 416-392-5068
Red Apple Day Care (Overlea),135 Overlea Blvd   (Don Mills / Overlea)     , Don Valley West,Donna Robinson, 416-429-5437
Red Apple Day Care - St John XXIII,175 Grenoble Dr   (Gateway Blvd. / Don Mills)     , Don Valley East,Neena Locke, 416-429-6662
Regent Park Early Learning & Child Care Centre,40 Regent St   (Dundas/Parliament)     , Toronto Centre,Isaiah Noel, 416-392-5513
Rejoyce Caledon Community Child Care,26 Joyce Pky   (Dufferin / Lawrence)     , Eglinton-Lawrence,Nimet Kara, 416-789-1485
Rendezvous Child Care Centre,18 Dallington Dr   (Sheppard / Leslie)     , Don Valley North,Martha Sinclair, 416-490-9360
Rene Gordon School Age YMCA,20 Karen Rd   (York Mills / Victoria Park)     , Don Valley East,Nirvani Persaud, 416-293-3020
Rexdale Day Nursery,925 Albion Rd   (Islington / Albion)     , Etobicoke North,Laura Infusini, 416-743-5057
Rexdale Women's Centre Nursery,"925 Albion Rd ,207     ", Etobicoke North,Neelam Sanghvi, 416-741-1633
Rhyme & Reason Day Care,474 Browns Line   (Brown's Line / Horner Ave.)     , Etobicoke-Lakeshore,Josie Blais, 416-255-3008
Ridley Orchard School Ltd.,1920 Avenue Rd     , Eglinton-Lawrence,Sophie Gretes, 416-482-3272
Rippleton Roadsters Child Care Program,21 Rippleton Rd   (Leslie / Lawrence)     , Don Valley West,Denise Vuocolo, 416-449-4559
Rippleton Roadsters Satellite Program,1340 Leslie St   (Leslie St. / Lawrence Ave. E.)     , Don Valley West,Denise Vuocolo, 416-449-4559
Riverdale Mighty Kids Corp,842 Gerrard St E     , Toronto-Danforth,Sally Hooper, 416-312-8949
Robbins Hebrew Academy,1700 Bathurst St     , Toronto-St. Paul's,Blair Hennick, 416-224-8737
Rockford Child Care,60 Rockford Rd   (Bathurst / Steeles)     , York Centre,Amanda De Palma, 416-663-6286
Roden Community Child Care Centre,151 Hiawatha Rd   (Coxwell / Gerrard)     , Toronto-Danforth,Susan Scharlach, 416-461-3010
Rolph Road Day Care,31 Rolph Rd   (Bayview / Eglinton)     , Don Valley West,Janet Moreau, 416-487-5862
Rolph Road - Leaside Day Care Centres (St. Anselm),182 Bessborough Dr   (Bayview Ave. / Millwood Rd.)     , Don Valley West,Frances Quin, 416-487-5862
Romero Bears Child Care Centre,99 Humber Blvd   (Weston / Humber Blvd.)     , York South-Weston,Diana Lurde, 416-769-2328
Rosalie Hall Early Learning And Child Care Centre,3020 Lawrence Ave E   (Lawrence / McCowan)     , Scarborough Centre,Karen Stemer, 416-438-6880 ext 239
Rosedale Moore Park Association/Mooredale Preschool - Coach House,146 Crescent Rd   (Mt. Pleasant / Bloor St. E.)     , University-Rosedale,Carolyn Burgess, 416-922-3714 ext 113
Rosedale Moore Park Association/Mooredale Preschool - Main House,146 Crescent Rd   (Mt. Pleasant / Bloor St. E.)     , University-Rosedale,Carolyn Burgess, 416-922-3714 ext 113
Roseland Day Care Centre,990 Jane St   (Jane / Eglinton W.)     , York South-Weston,Juliana Donkor, 416-763-0068
Rosethorn Before And After School Program,2 Remington Dr   (Rathburn / Kipling)     , Etobicoke Centre,Yosi Von Biela, 416-239-4682
Rouge Valley Jr YMCA,30 Durnford Rd   (Sheppard E. / Kingston Road)     , Scarborough-Rouge Park,Brenda O Grady, 416-282-7253
Rowntree Early Learning & Child Care Centre,2765 Islington Ave   (Islington / Finch)     , Etobicoke North,Rosemary Amevenu, 416-392-5089
Royal Day Care Centre Weston Inc,1737 Weston Rd   (Weston / Lawrence W.)     , York South-Weston,Sharon Brown, 416-249-9115
Royal York Road School,851 Royal York Rd   (Royal York / Bloor)     , Etobicoke-Lakeshore,Maria Atter, 416-239-1555
Roywood Child Care North York,11 Roywood Dr   (York Mills / Victoria Park)     , Don Valley East,Heather Boutcher, 416-391-0222
Runnymede Adventure Club,357 Runnymede Rd   (Runnymede / Annette)     , Parkdale-High Park,Pamela McArthur, 416-766-5599
Ryerson Early Learning Centre (Ryerson University),350 Victoria St   (Yonge / Dundas)     , Toronto Centre,Charlotte De Souza, 416-979-5338
Sadochok Preschool Centre,35 West Deane Park Dr   (Rathburn / East Mall)     , Etobicoke Centre,Galyna Bilous, 416-626-7195
Sandalwood Centre For Early Learning (Centres For Early Learning Inc.),1825 Finch Ave W   (Jane / Finch)     , Humber River-Black Creek,Natasha Reid, 416-638-0357 ext 231
Sandbox Day Care Centre,15 Orton Park Rd   (Lawrence / Orton Pk.)     , Scarborough-Guildwood,Lisa George, 416-431-3327
San Romanoway Boys & Girls Club,"10 San Romanoway ,Ground Floor, North Wing   (Jane / Finch Ave. W.)     ", Humber River-Black Creek,Stephnie Payne, 416-739-7949
Scarborough Citadel Child Care,2021 Lawrence Ave E   (Lawrence / Warden)     , Scarborough Centre,Kimberly Sturge, 416-759-1721 ext 4
Scarborough Day Nursery School,51 Eastwood Ave   (Kingston Rd. / Warden)     , Scarborough Southwest,Lisa Dundas, 416-698-5833
Scarborough Jr YMCA,230 Town Centre Crt   (McCowan / Ellesmere)     , Scarborough Centre,Erin Andersen, 416-296-9907
Scarborough Village Day Nursery 1,215 Markham Rd   (Markham / Eglinton)     , Scarborough-Guildwood,Tanya Robinson, 416-261-5048
Scarborough Village Day Nursery 2,155 Markham Rd   (Markham / Kingston Rd.)     , Scarborough-Guildwood,Habiba Badani, 416-267-8881
Seafield Day Nursery,"100 York Gate Blvd ,109   (Jane / Finch)     ", Humber River-Black Creek,Mojan Jenab, 416-663-0596
